google, google.com
Morse Code, https://www.morsecode.io/
Time Accuracy, http://time.is/
Language Map, http://maps.verbix.com/languages.html
International Immigration 2010, http://peoplemov.in/
Word Search, http://www.netspeak.org/
UK Building Ages Map, http://maps.cdrc.ac.uk/#/metrics/dwellingage/default/BTTTFTT/10/-0.1500/51.5200/
US Gun Trace, http://data.baltimoresun.com/gun-trace/
Underwater Fiber-Optic Cables, http://submarinecablemap.com/#/
US Mass Shootings, http://public.tableau.com/views/USMassShootingsInteractiveViz2/Time?:embed=y&:loadOrderID=0&:display_count=yes&:showTabs=y&:showVizHome=no
Gravity Simulator, http://justfound.co/gravity/
No Desc, http://paralleltext.io/
Handwriter, http://www.cs.toronto.edu/~graves/handwriting.cgi
Computer Algorithm Simulations, https://www.cs.usfca.edu/~galles/visualization/Algorithms.html
Roads to Rome, http://roadstorome.moovellab.com/
No Desc, http://capitolwords.org/?terma=iraq&termb=afghanistan
Image Color Analyzer, http://imagecolor.azurewebsites.net/
Disease Comparison, http://vizhub.healthdata.org/gbd-compare/
No Desc, http://www.ifitweremyhome.com/
Wikipedia activity, http://listen.hatnote.com/
Language and Writing System Encyclopedia, http://omniglot.com/
presidential endorsements, http://projects.fivethirtyeight.com/2016-endorsement-primary/
Google Data, https://www.google.com/publicdata/directory
Essay Editor, http://www.hemingwayapp.com/
US Tax Brackets Over Time, http://www.vox.com/2015/10/26/9469793/tax-brackets
Domain Lookup, http://whois.domaintools.com/
List of Empires, https://en.wikipedia.org/wiki/List_of_largest_empires
English Accents, http://ndla.no/sites/default/files/flash/varieties_of_english_v3/index.swf
ISS Tour, http://esamultimedia.esa.int/multimedia/virtual-tour-iss/?utm_source=hackernewsletter&utm_medium=email&utm_term=fun
Find Your Pi Day, http://mypiday.com/
Pi Digit Distribution, http://tedwilliams.me/public/pi_distribution/
People Powered Research, https://www.zooniverse.org/
World Flights, http://www.senchalabs.org/philogl/PhiloGL/examples/worldFlights/
Company Name Generator,http://www.naminum.com/
3D Graphing Calculator, http://www.graphycalc.com/
Wikipedia Map, http://wiki.polyfra.me/#
Skeleton Model,http://www.kineman.com/new/webapp/index.php
Dynamic History Map,http://www.chronas.org/history
Tectonic History,http://dinosaurpictures.org/ancient-earth/#260
Solar System Calendar,http://www.solarsystemscope.com/
Font Usage,http://www.fontreach.com/
3D Nyan Cat,https://dl.dropboxusercontent.com/u/6213850/WebGL/nyanCat/nyan.html
Rome,http://www.ro.me/
Life Is Short,http://interactivehaiku.com/lifeisshort/
Extinctions By Humans,https://en.wikipedia.org/wiki/Category:Species_made_extinct_by_human_activities
FedEx Logo,https://xkcd.com/960/
Is The World A Better Place?, http://aviz.fr/unmilleniumgoals/
Pastry War,https://en.wikipedia.org/wiki/Pastry_War
Regret of The Nuclear Navy,https://en.wikipedia.org/wiki/Hyman_G._Rickover#Willingness_to_.22sink_them_all.22
World Satellites,http://www.alexras.info/code/orbital_objects/
Change in State Population,http://www.vox.com/2015/8/12/9132953/state-population-rank
US National Parks Deaths,http://www.washingtonpost.com/news/wonkblog/wp/2015/08/12/forget-bears-heres-what-really-kills-people-at-national-parks/
Extreme Points on Earth,https://en.wikipedia.org/wiki/Extreme_points_of_Earth
World War II Deaths,http://www.fallen.io/ww2/
Nuclear Detonations,http://www.theguardian.com/world/video/2015/aug/14/nuclear-weapon-detonation-hiroshima-nagasaki-trinity-1945-world-map-video?CMP=share_btn_link
Seismic Globe,http://portal.gplates.org/cesium/?view=seabed
Monopoly Strategies,http://amnesta.net/monopoly/
Monopoly Probabilities,http://www.tkcs-collins.com/truman/monopoly/monopoly.shtml
Largest Organism,http://www.opb.org/television/programs/ofg/segment/oregon-humongous-fungus/
Penny visualization,http://www.kokogiak.com/megapenny/1.asp
No Desc,http://www.vanderbilt.edu/AnS/psychology/health_psychology/gatorade.htm
No Desc,https://www.psychologytoday.com/articles/201303/the-you-in-me
No Desc,https://en.wikipedia.org/wiki/Chimera_(genetics)
List of War Crimes, https://en.wikipedia.org/wiki/List_of_war_crimes
Productiveness helper,http://www.takeafive.com/
No Desc,https://en.wikipedia.org/wiki/White_House_(Moscow)
No Desc,http://www.journalofscience.net/File_Folder/521-532(jos).pdf
No Desc,https://en.wikipedia.org/wiki/List_of_territorial_disputes
No Desc,http://www.gapminder.org/
No Desc,http://verdantlabs.com/politics_of_professions/
No Desc,http://www.bbc.com/earth/story/20141016-your-life-on-earth?ocid
No Desc,http://imgur.com/a/pYHyk
No Desc,http://toddwschneider.com/posts/statistical-analysis-of-learnedleague-trivia-competition/
No Desc,http://www.datapointed.net/2010/10/crayola-color-chart-rainbow-style/
No Desc,https://www.quantamagazine.org/20150803-physics-theories-map/?utm_source=Quanta+Magazine&utm_campaign=f4cebd4501-Quanta_Newsletter_Feb_27_2015&utm_medium=email&utm_term=0_f0cb61321c-f4cebd4501-389384085
No Desc,http://www.r2d3.us/visual-intro-to-machine-learning-part-1/
No Desc,http://population.io/
No Desc,http://metrocosm.com/how-we-share-the-world/
No Desc,https://en.wikipedia.org/wiki/International_Phonetic_Alphabet#Letters
No Desc,http://www.relativelyinteresting.com/how-to-mislead-people-with-graphics-that-lie/
No Desc,http://perspecsys.com/cloud-data-ticker/
No Desc,https://www.washingtonpost.com/graphics/national/census-commute-map/
No Desc,http://richiecarmichael.github.io/sat/index.html
No Desc,http://worditout.com/
No Desc,https://team.cartodb.com/u/santiagoa/viz/9461a1b6-46a2-11e5-bc4a-0e018d66dc29/public_map
No Desc,http://healthintelligence.drupalgardens.com/content/life-expectancy-age-selected-country-1990-2013?utm_content=buffer501ec&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
No Desc,http://bbvatourism.vizzuality.com/
No Desc,http://www.pg-rna.org/
No Desc,https://en.wikipedia.org/wiki/Limberbutt_McCubbins
No Desc,https://en.wikipedia.org/wiki/Steganography
No Desc,https://en.wikipedia.org/wiki/Shot_tower
No Desc,http://www.theguardian.com/us-news/ng-interactive/2015/jun/01/the-counted-police-killings-us-database
No Desc,https://medium.com/its-an-app-world/the-colors-of-an-app-icon-b5e8805958d7
No Desc,http://www.theguardian.com/artanddesign/ng-interactive/2014/jun/01/d-day-landings-scenes-in-1944-and-now-interactive
No Desc,http://npr.unum.ai/
No Desc,https://en.wikipedia.org/wiki/Crown_shyness
No Desc,https://en.wikipedia.org/wiki/List_of_English_terms_of_venery%2C_by_animal?wprov=sfia1
No Desc,http://www.npr.org/sections/money/2015/05/21/408234543/will-your-job-be-done-by-a-machine
No Desc,http://losangelespersonalinjuryattorney.net/body-value/
No Desc,http://svs.gsfc.nasa.gov/cgi-bin/details.cgi?aid=4174
No Desc,https://www.windyty.com
No Desc,http://overflow.solutions/special-projects/the-ratio/#prettyPhoto
No Desc,https://en.wikipedia.org/wiki/Marvin_Heemeyer
No Desc,http://www.mdaniels.com/animals/
No Desc,http://globe.cid.harvard.edu/?mode=gridSphere&id=FI
No Desc,http://www.businessinsider.com/animated-map-shows-where-worlds-mcdonalds-locations-2015-8
No Desc,http://earth.nullschool.net/
No Desc,https://en.wikipedia.org/wiki/Obamadon?wprov=sfti1
No Desc,http://blog.nuclearsecrecy.com/
Africa's Improvement,http://ourworldindata.org/VisualHistoryOf/AfricaInData.html#/title-slide
No Desc,https://fairfax-data.cartodb.com/viz/3ff21692-4224-11e5-9092-0e9d821ea90d/embed_map
No Desc,http://pakastin.github.io/deck-of-cards/
No Desc,http://codepen.io/solarisedesign/full/QbXLrZ/
No Desc,http://hiroshima-welcome.jp/kanpai/catstreetview/sp/index_2_on.html#
No Desc,http://garmekain.github.io/fractal/
No Desc,http://www.omnesviae.org/#!iter_TPPlace1048_TPPlace891
No Desc,http://faceresearch.org/demos/average
No Desc,https://www.destatis.de/bevoelkerungspyramide/#!y=2060
No Desc,http://orteil.dashnet.org/nested
No Desc,http://tollund.cc/
No Desc,http://thetruesize.com/
No Desc,http://www.manycities.org/
No Desc,https://en.wikipedia.org/wiki/Madagascar_Plan
No Desc,https://forekast.com/?assume_time_zone=true
No Desc,http://www.howmanypeopleareinspacerightnow.com/
No Desc,http://armsglobe.chromeexperiments.com/
No Desc,http://randomstreetview.com/
No Desc,http://sleepyti.me/
US Immigrant Locations,http://personal.tcu.edu/kylewalker/immigrant-america/
No Desc,http://paintwithdonaldtrump.com/
No Desc,http://fontfling.com/
